run_number,kind,target,repeat,glyph_count,smart_base_count,elapsed_seconds,status,font_size,log_file
229,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral,1,1788,11,14.029,ok,291940,logs/229_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.minus__smart.mu_r1.log
230,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral.bottom+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral,1,1789,11,13.93,ok,291940,logs/230_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral.bottom__smart.minus__s_r1.log
231,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral,1,1789,11,13.854,ok,291940,logs/231_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral.top__smart.minus__smar_r1.log
232,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.quadrupleIntegral,1,1789,11,13.899,ok,291940,logs/232_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
233,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral,1,1789,11,13.907,ok,291940,logs/233_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
234,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1788,11,13.825,ok,291940,logs/234_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
235,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral,1,1789,12,13.965,ok,291940,logs/235_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
236,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral,1,1789,12,13.942,ok,291940,logs/236_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.top__s_r1.log
237,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.quadrupleIntegral,1,1789,12,13.912,ok,291940,logs/237_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.minus__smart.mu_r1.log
238,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral,1,1789,12,13.92,ok,291940,logs/238_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.minus__smart.mu_r1.log
239,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1788,12,13.866,ok,291940,logs/239_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.minus__smart.mu_r1.log
240,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral,1,1878,13,22.482,ok,320216,logs/240_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
241,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.quadrupleIntegral,1,1790,13,14.074,ok,291940,logs/241_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
242,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral,1,1790,13,13.898,ok,291940,logs/242_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
243,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1789,13,13.92,ok,291940,logs/243_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
